country,code,val
Gabon,GAB,85.3805254783
"Gambia, The",GMB,48
Georgia,GEO,39.4589149518
Germany,DEU,31.7718940937
Ghana,GHA,21.7104684891
Gibraltar,GIB,0
Greece,GRC,30.2792862684
Greenland,GRL,
Grenada,GRD,50
Guam,GUM,48.1481481481
Guatemala,GTM,34.1265397536
Guinea,GIN,26.6319387921
Guinea-Bissau,GNB,71.906116643
Guyana,GUY,77.2415544831
Haiti,HTI,3.6647314949
Honduras,HND,46.4027169542
"Hong Kong SAR, China",HKG,
Hungary,HUN,22.412459958
Iceland,ISL,0.2992518703
India,IND,23.0170288478
Indonesia,IDN,52.1271604189
"Iran, Islamic Rep.",IRN,6.8005280771
Iraq,IRQ,1.8995210904
Ireland,IRL,10.7272463347
Isle of Man,IMN,5.2631578947
Israel,ISR,7.1164510166
Italy,ITA,31.1042360781
Jamaica,JAM,31.1172668513
Japan,JPN,68.5294924554
Jordan,JOR,1.103852219
Kazakhstan,KAZ,1.2256917435
Kenya,KEN,6.0916470464
Kiribati,KIR,14.8148148148
"Korea, Dem. Rep.",PRK,47.0558923677
"Korea, Rep.",KOR,64.0782698249
Kosovo,KSV,
Kuwait,KWT,0.3367003367
Kyrgyz Republic,KGZ,4.9739311783
Lao PDR,LAO,68.2452339688
Latvia,LVA,53.9401736893
Lebanon,LBN,13.3919843597
Lesotho,LSO,1.4492753623
Liberia,LBR,44.9439368771
Libya,LBY,0.1233276879
Liechtenstein,LIE,43.75
Lithuania,LTU,34.4662517951
Luxembourg,LUX,33.5907335907
"Macao SAR, China",MAC,
"Macedonia, FYR",MKD,39.5717684377
Madagascar,MDG,21.5857894556
Malawi,MWI,34.3338990242
Malaysia,MYS,62.2614518338
Maldives,MDV,3.3333333333
Mali,MLI,10.2361107696
Malta,MLT,
Marshall Islands,MHL,72.2222222222
Mauritania,MRT,0.234791889
Mauritius,MUS,17.2413793103
Mayotte,MYT,37.8378378378
Mexico,MEX,33.3352195273
"Micronesia, Fed. Sts.",FSM,91.4285714286
Moldova,MDA,11.736089997
Monaco,MCO,0
Mongolia,MNG,7.0148562012
Montenegro,MNE,40.3717472119
Morocco,MAR,11.4967510643
Mozambique,MOZ,49.622319998
Myanmar,MMR,48.618251928
Namibia,NAM,8.8547170499
Nepal,NPL,25.3644925009
Netherlands,NLD,10.821227394
New Caledonia,NCL,45.8971553611
New Zealand,NZL,31.40404846
Nicaragua,NIC,25.8766827323
Niger,NER,0.9505013026
Nigeria,NGA,9.9267652646
Northern Mariana Islands,MNP,65.2173913043
Norway,NOR,32.9492257832
Oman,OMN,0.0064620355
Pakistan,PAK,2.1884080531
Palau,PLW,86.9565217391
Panama,PAN,43.731503901
Papua New Guinea,PNG,63.4324073665
Paraguay,PRY,44.2537125598
Peru,PER,53.11875
Philippines,PHL,25.7068115505
Poland,POL,30.6936226167
Portugal,PRT,37.7828796327
Puerto Rico,PRI,62.2322435175
Qatar,QAT,0
Romania,ROU,28.5708076154
Russian Federation,RUS,49.4044344249
Rwanda,RWA,17.6327523308
Samoa,WSM,60.4240282686
San Marino,SMR,0
Sao Tome and Principe,STP,28.125
Saudi Arabia,SAU,0.4544841349
Senegal,SEN,44.0087259128
Serbia,SRB,31.0198948091
Seychelles,SYC,89.1304347826
Sierra Leone,SLE,38.0619938565
